,Regulator,Target,Perturbation,Effect,Stage,Tissue.Reg,Tissue.Target,Additional Perturbation,Year,Reference
BMP BMP2 EPI EPI positive target,Bmp2,Msx1,+,+,E11,Epi,Epi,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES positive target,Bmp2,Msx1,+,+,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES positive target,Bmp2,Bmp4,+,+,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES positive target,Bmp2,Lef1,+,+,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI MES positive target,Bmp2,Msx2,+,+,E11,Epi,Mes,,1998,"Dassule HR, McMahon AP. Analysis of epithelial-mesenchymal interactions in the initial morphogenesis of the mammalian tooth. Developmental Biology 1998 vol. 202 (2) pp. 215-27"
BMP BMP2 EPI EPI positive target,Bmp2,Cdkn1a,+,+,E13,Epi,Epi,,1998,"Jernvall J, Aberg T, Kettunen P, Keränen S, Thesleff I. The life history of an embryonic signaling center: BMP-4 induces p21 and is associated with apoptosis in the mouse tooth enamel knot. Development 1998 vol. 125 (2) pp. 161-9"
BMP BMP2 EPI EPI positive target,Bmp2,Trp63,+,+,E11,Epi,Epi,,2006,"Laurikkala J, Mikkola ML, James M, Tummers M, Mills AA, Thesleff I. p63 regulates multiple signalling pathways required for ectodermal organogenesis and differentiation. Development 2006 vol. 133 (8) pp. 1553-63"
BMP BMP2 EPI EPI positive target,Bmp2,Trp63,+,+,E12,Epi,Epi,,2006,"Laurikkala J, Mikkola ML, James M, Tummers M, Mills AA, Thesleff I. p63 regulates multiple signalling pathways required for ectodermal organogenesis and differentiation. Development 2006 vol. 133 (8) pp. 1553-63"
BMP BMP2 EPI EPI positive target,Bmp2,Trp63,+,+,E13,Epi,Epi,,2006,"Laurikkala J, Mikkola ML, James M, Tummers M, Mills AA, Thesleff I. p63 regulates multiple signalling pathways required for ectodermal organogenesis and differentiation. Development 2006 vol. 133 (8) pp. 1553-63"
BMP BMP2 EPI EPI positive target,Bmp2,Trp63,+,+,E14,Epi,Epi,,2006,"Laurikkala J, Mikkola ML, James M, Tummers M, Mills AA, Thesleff I. p63 regulates multiple signalling pathways required for ectodermal organogenesis and differentiation. Development 2006 vol. 133 (8) pp. 1553-63"
BMP BMP2 EPI EPI positive target,Bmp2,Msx2,+,+,E12,Epi,Epi,,2001,"Laurikkala J, Mikkola M, Mustonen T, Aberg T, Koppinen P, Pispa J, Nieminen P, Galceran J, Grosschedl R, Thesleff I. TNF signaling via the ligand-receptor pair ectodysplasin and edar controls the function of epithelial signaling centers and is regulated by Wnt and activin during tooth organogenesis. Developmental biology 2001 vol. 229 (2) pp. 443-55"
